Accession  no,Sex,Nutrition,Slaughter Group,Date of Birth,Slaughter Date,Days at Death,Sca_GLP,Sca_BG,Sca_SLC,Hum_GL,Hum_GLC,Hum_SD,Hum_Bd,Hum_BT,Hum_BFT,Hum_HT,Hum_HTC,Rad_GL,Rad_Bp,Rad_BFp,Rad_SDmm,Rad_Bd,Mtc_GL,Mtc_Bp,Mtc_BFp,Mtc_SD,Mtc_BFd,Mtc_WCM,Mtc_WCL,Mtc_Dem,Mtc_Del,Mtc_Dvm,Mtc_Dvl,Mtc_BdFus,Pel_SDpu,Pel_SDmmpu,Pel_MRDA,Fem_GL,Fem_GLC,Fem_TC,Fem_SD,Fem_Bd,Tib_GL,Tib_Bp,Tib_SDml,Tib_SDmin,Tib_Bd,Tib_Dd,Navcu_GB,Mtt_GL,Mtt_Bp,Mtt_BFp,Mtt_SD,Mtt_BFd,Mtt_WCM,Mtt_WCL,Mtt_Dem,Mtt_Del,Mtt_Dvm,Mtt_Dvl,Mtt_BdFus,Ast_GLl,Ast_Bd,Ast_Dl,Cal_GL,Cal_BS,Cal_C,Cal_C&D,Cal_GDde,Sca_coracoid_fus,Hum_prox_fus,Hum_dist_fus,Rad_prox_fus,Rad_dist_fus,Mtc_dist_fus,Pel_acetabulum_fus,Fem_caput_fus,Fem_gt_fus,Fem_dist_fus,Tib_prox_fus,Tib_dist_fus,Mtt_dist_fus,Cal_prox_fus,Pph_fore_int_fus,Pph_fore_ext_fus,Pph_dist_int_fus,Pph_dist_ext_fus,Mph_fore_int_fus,Mph_fore_ext_fus,Mph_dist_int_fus,Mph_dist_ext_fus
3538,Female,High,7,5/6/1996,24/11/1999,1297,30.83,19.34,18.36,132.5,119,14.05,29.48,27.74,27.09,16.73,13.97,136.5,29.38,26.62,15.77,26.64,110,21.87,21.18,12.3,23.49,11.1,10.75,10.16,9.46,15.01,14.34,23.14,4.4,8.61,4.01,164.5,161.5,19.54,16.54,37.22,188.5,39.75,13.7,10.46,24.4,19.45,21.98,120,19.39,19.38,10.39,22.67,10.9,9.8,9.26,8.3,15.13,14.02,22,26.53,17.39,14.78,52.36,14.72,12.48,21.22,21.65,fu,fu,fu,fu,fu,fu,fu,fu,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3539,Female,Low,7,5/8/1996,23/11/1999,1294,32.03,19.26,17.67,127,113.5,13.82,29.92,27.57,27.17,18.12,14.93,131,30.5,27.13,16.33,28.23,108,22.62,21.36,12.92,24.43,11.15,10.75,10.08,9.12,15.27,14.53,23.92,4.18,7.9,4.55,157.5,155,20.44,16.13,36.54,178,40.52,13.77,10.59,23.75,19.66,22.04,116.5,19.14,19,10.84,23.19,10.4,9.4,8.97,8.17,15.11,13.86,22.41,26.8,17.93,15.14,52.81,14.93,12.05,20.74,21.92,fu,fo,fu,fu,fu,fu,fu,fu,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3540,Castrate,High,5,5/15/1997,16/11/1999,915,35.65,21.16,20.89,144.5,127,15.99,32.16,29.75,29.55,19.63,14.75,157,33.45,30.17,20.07,31.6,120,24.15,23.23,14.21,26.31,12.35,11.9,10.37,9.84,15.66,15.4,27.11,7.02,8.54,7.39,177,175,20.8,17.79,39.38,204.5,42.49,16.35,12.25,26.69,21.08,23.31,128,20.82,19.83,12.51,24.88,11.5,10.7,9.44,8.68,15.68,14.83,24.33,27.66,18.67,15.15,57.64,16.11,13.34,22.39,22.84,fu,fo,fu,fu,fo,fu,fu,fo,fu,fo,u,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3541,Male,High,7,5/15/1996,15/11/1999,1279,35.8,22.72,21.86,149,131.5,16.5,33.41,31.08,30.52,20.12,15.58,159,33.3,30.37,19.02,32.23,121.5,25.56,24.25,15.36,27.16,12.75,12.3,11.07,10.2,16.86,16.28,28.94,8.51,9.86,7.57,178.5,177,21.64,18.03,42.56,211.5,44.99,16.5,13.63,28.61,23.4,25.28,131.5,21.99,21.74,13.23,26.3,12.15,10.9,10.7,9.03,17.29,15.44,26.57,29.58,19.88,16.34,58.31,17.28,14.51,23.47,24.38,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,na,na,na,na,na,na,na,na
3542,Female,High,7,5/8/1996,23/11/1999,1294,31.41,19.24,19.45,132.5,118,14.02,29.78,27.41,27.3,17.8,13.79,136.5,29.7,27.38,16.33,28.14,108,21.41,20.92,13.52,24.02,11.3,10.5,10.27,9.48,15.1,14.48,24.22,5.23,8.39,5.28,162,159,19.87,16.01,37.14,185,39.45,13.95,11.12,25.32,19.66,21.76,117,18.72,18.63,11.39,23.06,10.7,9.6,9.35,8.62,14.67,13.99,22.4,26.24,17.83,14.92,53.49,15.67,11.77,20.55,21.17,fu,fu,fu,fu,fu,fu,fu,fu,fu,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3543,Female,High,3,5/4/1998,24/11/1999,569,29.3,18.77,18.03,131,114.5,14.85,28.4,26.9,26.79,17.22,14.12,138.5,30.17,27.85,16.77,29.13,116,22.47,22.06,13.34,25.33,12.05,11.05,10.64,9.8,15.67,14.9,25.97,5.74,8.77,4.76,159.5,158.5,19.67,17.07,36.05,181,38.96,14.32,11.48,24.83,19.91,23.01,124,19.74,19.72,11.2,23.65,11.05,10,10.03,9.36,15.65,14.79,23.77,27.67,18.18,15.68,52.02,15.47,13.25,21.82,21.67,fu,fg,fu,fu,u,fu,fu,fo,fo,u,u,fu,fo,fu,fu,fo,fu,fu,fu,fu,fu,fu
3544,Female,Low,3,5/9/1998,23/11/1999,563,31.7,20.1,18.26,134,119.5,14.26,29.62,27.58,27.46,17.96,14.14,138,30.79,28.02,16.77,29.22,115,22.58,21.25,12.78,23.35,10.9,10.1,10.44,9.94,15.74,14.95,24.17,4.84,8.25,4.57,160.5,159,20.64,16.07,36.58,190,40.31,14.33,11.76,25.41,20.85,21.98,126,19.26,19.17,10.64,22.91,10.25,9.4,9.89,9.1,16.1,14.94,23.47,27.95,17.77,15.13,54.51,14.87,13.02,22.23,22.01,fu,u,fu,fu,u,fo,fu,u,u,u,u,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu
3545,Castrate,Low,7,4/29/1996,15/11/1999,1295,33.61,23.37,20.08,141,127,15.48,31.63,29.35,29.17,20.2,15.49,155,33.19,29.36,17.39,30.47,123,25.12,24.03,14.64,26.42,12.25,11.7,11.36,10.67,16.47,15.6,25.63,6.91,9.28,6.5,177,175,20.95,17.65,40.56,205,42.34,15.38,11.25,25.5,20.71,24.7,134,21.6,21.49,12.72,25.12,11.9,10.7,10.53,9.55,16.34,15.06,24.13,27.9,19.55,15.65,59.07,16.7,13.76,23.47,23.34,fu,fo,fu,fu,fu,fu,fu,fu,fu,fo,fo,fu,fu,fu,na,na,na,na,na,na,na,na
3546,Female,High,1,11/05/99,23/11/1999,196,29.82,17.3,15.51,116,105,11.47,27.62,25.67,24.96,17.1,13.75,120,27.6,26.05,13.56,26.97,105,21.96,21.27,11.4,23.43,11.1,10.75,10.47,9.94,15.08,14.75,23.99,6.51,7.86,4.78,140,140.5,19.39,13.37,35.06,167.5,36.86,11.92,9.62,23.77,19.07,20.85,114,19.12,18.98,9.59,22.39,10.75,9.9,9.58,8.8,15.4,14.43,23.11,26.29,17.32,14.61,49.45,14.93,11.55,20.01,21.02,fu,u,fo,fu,u,u,fu,u,u,u,u,u,u,u,u,u,u,u,fo,fo,fo,fo
3547,Castrate,High,3,5/9/1998,22/11/1999,562,33.79,19.86,19.65,138.5,122.5,14.25,30.71,28.35,28.24,18.55,13.72,148,31.68,28.62,17.06,30.1,119,23.65,22.71,14.36,24.51,11.2,10.75,10.96,9.99,15.72,15.06,26.42,6.83,8.63,5.95,169,167,19.88,16.13,37.66,202,40.43,15.12,11.06,26.36,20.82,23.65,128,19.62,19.48,11.66,23.66,10.8,9.75,9.99,9.01,15.59,14.33,24.44,27.29,18.66,15.4,55.59,16.56,13.98,21.99,22.25,fu,fg,fu,fu,u,u,fu,u,fg,u,u,fu,u,fo,fu,fu,fu,fu,fu,fu,fu,fu
3548,Female,High,7,5/9/1996,23/11/1999,1293,33.65,19.88,19.66,132.5,117,14.95,29.71,27.45,26.35,18.69,14.06,141,31.71,27.6,17.61,29.69,115,24.05,22.77,14.21,24.88,11.65,11.25,10.97,10.32,16.4,15.71,25.06,5.77,8.08,4.88,162,159,19.58,17.22,37.69,192,41.03,15.96,12.22,26.46,20.52,25.71,126,20.57,19.81,12.21,24.06,11.25,10.2,10.44,9.7,16.65,15.52,24.02,27.87,18.81,15.9,55.44,15.4,12.67,21.79,22.01,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3549,Castrate,High,3,5/3/1998,22/11/1999,568,35.84,22.48,20,148.5,130.5,15.4,33.21,30.61,29.53,20.57,15.81,160,34.25,31.35,18.61,32,134,24.88,24.28,15.11,26.51,12.6,12.05,12.2,11.24,17.44,16.51,28.59,7.25,9.84,6.79,177.5,178.5,21.85,17.31,40.47,218,42.8,15.36,12.75,28.34,22.05,25.35,147.5,22.2,21.76,12.6,25.24,11.85,10.8,11.22,10.68,17.13,16.14,26.85,28.96,19.87,16.92,60.22,17.85,13.56,22.96,23.54,fu,u,fu,fu,u,u,fu,u,u,u,u,fo,u,fg,fu,fu,fu,fu,fu,fu,fu,fu
3550,Castrate,High,1,20/05/99,17/11/1999,181,28.99,18,14.79,111,101.5,11.05,27.98,25.93,24.68,16.23,13.23,113.5,26.74,25.13,12.56,26.38,100,20.99,20.5,10.69,23.02,10.9,10.5,9.97,9.13,15.08,14.26,24.34,6.24,8.25,8.03,131,134,18.38,12.41,34.41,158,36.83,11.01,9.23,24.82,19.02,21.14,107,19.01,19,9.16,22.23,10.7,9.55,9.4,8.31,14.93,13.73,22.59,25.93,17.11,14.25,46.75,14.46,11.55,19.76,20.97,fo,u,fo,fu,u,u,fo,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
3551,Female,Low,1,11/05/99,24/11/1999,197,28.48,16.55,14.74,110.5,102.5,11.09,26.5,25.19,24.74,14.57,12.66,116.5,26.66,24.19,12.09,25.9,100.5,20.28,19.89,10.19,21.37,10.25,9.9,9.08,8.47,14.2,13.53,22.44,5.3,6.39,4.02,135,136,18.27,12.62,32.41,161,35.69,11.28,9.01,23.58,17.65,19.83,106.5,17.8,17.63,8.79,20.39,9.95,8.95,8.4,7.74,14.24,13.25,20.99,24.93,16.25,13.71,44.65,13.22,10.62,19.12,19.8,fu,u,fo,fu,u,u,fo,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
3552,Male,Low,3,5/1/1998,22/11/1999,570,33.87,21.06,19.28,137,125,13.83,30.56,28.4,28.07,18.3,14.81,153,31.01,28.92,15.92,29.56,120,23.84,23.15,13.64,24.92,11.75,11.2,10.93,10.36,16.25,15.36,25.2,7.9,9.87,7.56,167.5,166,20.22,16.14,37.29,204,40.49,14.66,11.34,26.22,21.52,22.58,129,20.77,20.45,11.64,23.65,11.3,10.15,10.3,9.13,16.19,14.9,23.96,28.36,18.67,15.27,53.76,15.74,12.72,21.95,22.17,fu,u,fu,fu,u,fo,fu,u,u,u,u,fo,fo,u,fo,fo,fu,fo,fu,fu,fu,fu
3553,Male,Low,3,5/8/1998,22/11/1999,563,34.72,21.63,19.4,135.5,122,15.15,33.57,30.53,30.12,20.48,16.56,146,32.63,30.24,18.37,31.7,111.5,24.76,24.08,14.7,26.02,12,11.8,11.33,10.5,16.33,15.55,27.27,7.75,9.58,8.03,169,167,21.08,17.6,39.65,192,42.02,15.3,11.38,26.62,21.78,24.66,120,21.55,21.43,12.41,24.57,11.65,10.55,10.43,9.53,16.01,14.95,25.49,29.59,19.64,16.56,56.49,16.93,13.64,23.5,22.95,fu,u,fu,fu,u,u,fu,u,u,u,u,fo,u,u,fo,fo,fo,fo,fu,fo,fu,fu
3554,Male,Low,5,5/16/1997,16/11/1999,914,34.46,22.65,21.77,149,131,16.44,33.71,31.16,30.33,20.09,16.48,158,33.29,30.68,19.37,33.55,115,23.86,23.44,15.41,27.55,12.7,12.15,10.86,10.25,16.24,15.78,28.13,9.55,11.8,8.98,179,179,21.86,18.91,41.39,208,44.55,16.73,12.78,28.34,22.05,24.62,123,22.18,21.86,13.45,26.34,12.2,11,10.1,8.95,16.25,15.26,25.85,29.38,19.96,16.47,57.37,17.52,12.79,22.72,23.51,fu,fo,fu,fu,fo,fu,fu,fo,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3555,Male,Low,5,5/16/1997,17/11/1999,915,32.37,21.9,21.14,136.5,120.5,16.3,31.8,29.24,28.65,18.82,15.4,142,32.64,29.16,18.9,30.82,112.5,23.92,22.98,16.29,26.54,12.25,12.1,10.84,9.9,15.5,15.17,26.49,8.41,11.02,8.82,163.5,160.5,20.15,17.17,39.99,192,42.23,15.38,11.74,26.12,21.2,23.19,123,20.43,20.34,13.04,24.84,11.7,10.6,9.65,9.15,15.71,14.83,24.38,27.16,18.86,15.35,54.41,15.7,11.7,20.98,21.76,fu,fo,fu,fu,fo,fu,fu,fo,fo,fo,fg,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3556,Female,Low,7,5/8/1996,23/11/1999,1294,31,19.23,17.11,134,118,13.26,28.4,26.22,25.95,17.57,14.17,141,29.45,26.17,16.24,26.56,112,21.97,21.3,12.4,23.79,11.15,10.8,10.15,9.52,15.12,14.47,24.01,4.08,6.78,5.17,161.5,160,19.39,15.42,35.82,190,40.28,13.78,10.86,24.41,19.57,22.27,121.5,19.33,19.2,11.05,22.67,10.55,9.75,9.39,8.99,15.02,14.16,22.21,26.49,17.62,15.54,49.45,14.89,12.9,19.95,21.3,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3557,Castrate,Low,7,5/8/1996,15/11/1999,1286,35.17,21.78,21.04,141.5,125.5,15.23,32.53,29.96,29.55,19.98,15.35,151,33.95,30.62,18.45,31.21,123,24.76,23.79,14.75,26.8,12.55,11.85,11.24,10.76,16.36,15.69,26.66,7.59,9.2,8.52,175,173.5,20.43,16.75,40.62,202,42.19,15.95,12.93,27.04,21,24.72,133.5,21.79,21.64,12.86,25.06,11.7,10.75,10.6,9.77,16.03,15.08,25.3,28.64,19.81,16.09,57.9,17.07,13.77,23.56,22.81,fu,fo,fu,fu,fu,fu,fu,fo,fu,fo,fo,fu,fu,fu,na,na,na,na,na,na,na,na
3558,Male,Low,7,5/8/1996,15/11/1999,1286,33.64,20.91,20.52,138,128,15.75,31.36,28.77,28.64,18.33,14.28,149,32.64,29.56,18.36,29.99,116.5,23.86,22.94,14.16,24.16,11.4,10.8,10.74,10.78,15.81,15.71,24.99,7.46,10.96,8.55,163,161.5,19.82,17.1,39.35,196,42.42,14.88,11.75,25.45,20.55,23.11,125.5,20.55,20.36,11.61,23.37,11,10,10.14,9.63,15.99,14.96,22.86,27.48,18.59,15.37,54.07,16.17,12.81,22.07,22.53,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,na,na,na,na,na,na,na,na
3559,Female,Low,7,5/7/1996,23/11/1999,1295,32.59,19.05,19.08,136.5,119.5,14.78,31.22,28.58,28.44,18.43,14.69,137.5,31.06,28.69,17.16,29.14,107,23,22.6,13.13,25.78,11.9,11.35,10.42,9.63,15.39,14.88,24.81,6.17,8.53,4.78,160,158,21.29,15.76,37.9,182,39.64,14.52,11.23,25.37,20.04,23.81,114,20.67,20.65,11.24,24.52,11.5,10.2,9.53,8.85,15.57,14.46,23,27.84,18.88,15.83,53.66,15.26,12.79,22.65,22.32,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3560,Male,Low,5,5/6/1997,16/11/1999,924,32.95,20.76,21.11,137.5,118.5,16.4,30.58,28.54,28.39,19.15,14.82,146.5,32.37,29.01,18.26,31.86,111,23.58,22.67,14.36,26.05,12.15,11.9,10.51,9.6,15.31,14.53,26.29,8.29,10.64,9.41,172,170.5,20,17.48,38.69,199.5,41.22,15.18,12.05,26.21,20.37,22.54,117.5,21.32,21.22,12.21,25.35,11.8,10.65,9.98,8.73,15.21,14.33,24.78,27.52,18.07,14.92,53.65,16.42,12.53,21.46,21.81,fu,fo,fu,fu,fo,fu,fu,fo,fu,fo,fg,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3561,Castrate,Low,3,5/8/1998,17/11/1999,558,33.85,21.25,19.29,142,128.5,15.43,33.4,31.33,30.42,20.09,15.69,152.5,33.02,31,17.84,32.1,123.5,25.27,24.68,14.05,27.16,12.3,12.1,10.5,9.98,16.56,16.07,28.59,7.12,9.13,6.91,175,174,20.91,17.23,39.63,205,42.64,14.44,11.69,28.5,22.59,25.28,134.5,21.89,21.87,11.73,25.79,11.55,10.75,9.75,9.6,16.38,15.7,25.13,29.46,20.3,17.27,58.66,17.87,13.72,23.47,24.19,fu,u,fu,fu,u,u,fu,u,u,u,u,u,u,u,fo,fo,fo,fo,fu,fu,fu,fu
3562,Female,Low,3,5/5/1998,22/11/1999,566,31.34,20.11,19.11,129,115.5,14.42,29.03,26.92,26.58,17.75,14.31,137.5,29.9,27.48,16.31,29.16,112,23.34,22.28,13.77,24.91,11.45,11.05,10.25,9.55,15.32,14.73,25.7,5.97,8.21,4.21,158.5,157.5,20.44,17.15,36.04,187,38.59,14.57,11.41,25.44,20.87,22.82,119.5,19.99,19.79,11.57,23.83,11.2,9.95,9.43,8.35,15.41,14.4,23.41,27.31,17.8,14.98,53.72,15.71,12.08,21.34,21.77,fu,u,fu,fu,u,u,fu,fg,fg,u,u,fo,fo,fg,fu,fu,fu,fu,fu,fu,fu,fu
3563,Female,Low,5,5/6/1997,24/11/1999,932,29.58,19.9,16.97,128,118,14.11,30.67,27.8,26.63,18.72,14.47,143.5,28.92,26.62,15.89,28.49,112.5,22.15,21.43,13.41,23.78,11.25,10.4,10.63,9.82,15.6,14.71,23.2,4.72,8.19,4.14,158,157.5,19.31,15.47,37.71,189.5,41.09,13.52,10.88,24.21,19.28,22.01,122.5,19.15,19.09,11.19,23.34,10.85,9.25,10.11,9.02,15.5,14.31,21.73,26.56,17.46,15.11,51.04,15.74,12.92,21.68,21.16,fu,fo,fu,fu,fo,fu,fu,fo,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3564,Female,High,5,5/12/1997,24/11/1999,926,31.4,19.18,18.42,134.5,123.5,14.44,29.68,27.92,27.84,18,14.59,140.5,29.95,27.7,16.69,27.99,110.5,21.67,21.04,12.99,23.5,11,10.85,10.65,9.68,14.79,13.96,23.99,5.19,8.24,4.55,167,166,18.92,15.23,35.42,196,40.14,13.76,10.77,24.42,19.71,22.25,116,19.13,19.1,10.98,22.33,10.5,9.65,9.59,8.64,14.49,13.59,21.67,26.68,17.84,15.01,53.11,15.35,11.85,20.99,21.11,fu,fo,fu,fu,fu,fu,fu,fu,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3565,Male,Low,7,5/12/1996,15/11/1999,1282,36.14,21.5,20.92,145,129,15.84,31.74,29.76,29.23,19.33,14.77,156.5,32.45,29.5,18.36,30.85,121.5,25.11,23.64,14.97,26.2,12.3,10.85,10.43,9.92,15.82,15.05,26.89,7.98,10.52,9.04,173,172,21.51,17.98,40.93,206,44.07,16.27,12.4,27.34,21.57,23.8,130,21.49,21.26,12.58,24.55,11.7,10.5,9.77,8.95,15.77,14.6,24.82,27.87,19.95,15.9,56.62,17,13.19,22.01,22.22,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,na,na,na,na,na,na,na,na
3566,Female,Low,5,5/1/1997,24/11/1999,937,30.73,20.14,18.77,132,119,14.33,29.97,27.97,27.83,17.61,13.85,142,30.5,28.01,16.82,28.74,114,22.17,21.76,13.15,24.37,11.5,11.1,10.31,9.97,15.96,15.52,24.15,5.52,7.36,4.95,160,160.5,20.09,15.72,36.23,188,39.86,14.2,10.9,25.31,19.26,23.24,122.5,19.66,19.33,10.91,22.99,10.85,10.1,9.64,9.38,15.81,14.9,22.13,26.89,18.31,15.69,52.66,15.6,12.76,21.61,21.42,fu,fo,fu,fu,fu,fu,fu,fu,fu,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3567,Male,Low,5,5/1/1997,16/11/1999,929,33.75,22.3,22.27,148.5,133,17.57,33.47,31.1,30.64,20.39,15.73,159,34.84,31.54,19.2,31.39,125,25.46,24.18,15.59,26.88,12.4,12,10.63,10.05,16.55,15.91,27.51,9.34,11.53,8.47,182,181,22.5,20.07,42.24,216,46.28,17.36,13.17,29.86,22.91,24.84,135,21.99,20.97,13.34,25.26,11.85,10.5,9.4,9.12,16.51,15.69,25.22,29.2,20.06,16.09,56.93,17.55,13.33,23.27,23.14,fu,fg,fu,fu,fo,fu,fu,fu,fu,fo,fg,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3568,Male,High,1,11/05/99,17/11/1999,190,30.88,20.79,15.05,119,111.5,11.72,29.94,28.47,26.76,19.32,15.93,126.5,28.68,27.07,13.69,28.34,108,23.28,22.83,11.65,24.56,11.4,10.75,10.71,10.04,16.42,15.79,24.91,8.37,10.47,8.72,145.5,147,21.3,14.37,36.92,173,38.41,12.67,10.05,27.15,20.86,23.68,117.5,20.92,20.92,10.47,24.24,11.45,10.25,10.05,9.45,16.43,15.35,25.01,28.57,18.9,16.66,51.63,16.93,14.03,22.63,23.1,fo,u,fo,fu,u,u,fo,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
3569,Castrate,High,5,5/5/1997,16/11/1999,925,33.51,20.98,20.6,140,125,15.01,31.58,29.46,29.19,19,14.69,156,32.55,29.56,17.6,31.09,125.5,23.94,22.85,13.67,25.38,11.95,11.45,10.91,10.15,16.37,15.86,25.39,7.9,8.97,5.89,173.5,172.5,20.94,16.5,38.19,210.5,41.44,15.41,11.6,27.85,20.85,23.78,135.5,21.16,20.58,11.87,24.62,11.5,10.6,10.12,9.5,16.81,15.82,23.26,27.73,19.26,15.6,55.04,16.15,12.92,22.16,22.34,fu,u,fu,fu,u,fu,fu,fg,fo,u,u,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3570,Female,High,5,5/1/1997,23/11/1999,936,32.66,20.5,20.43,137,122.5,15.52,30.75,28.75,28.05,18.16,13.93,143.5,31.42,28.32,18.22,30.44,120.5,23,22.29,14.77,25.77,12,11.6,11.19,10.48,16.28,15.47,25.76,4.41,8.16,5.37,166,163,20.48,17.05,38.46,191,40.56,15.33,11.9,25.78,20.91,22.93,131,19.85,19.35,11.94,24.87,11.3,10.35,10.1,9.47,16.19,15.18,24.08,27.53,18.23,15.13,55.64,16.22,11.5,21.68,22.17,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3571,Castrate,Low,5,5/16/1997,16/11/1999,914,34.24,21.22,20.35,147,131,15.7,31.36,29.65,29.29,18.49,14.54,160,32.78,29.92,17.75,31.87,127,25.15,23.7,14.04,25.6,12,11.2,10.75,10.11,16.46,15.57,25.65,7.63,8.66,5.97,178,175.5,21.36,17.43,38.37,214.5,42.02,15.57,12.32,27.38,21.55,24.13,136.5,21.07,20.66,12.45,24.63,11.35,10.25,9.69,9.19,16.39,15.21,23.21,29.23,19.43,15.64,58.49,16.23,13.47,22.98,23.85,fu,u,fu,fu,u,fu,fu,fg,fo,u,u,fu,fu,fo,fu,fu,fu,fu,fu,fu,fu,fu
3572,Castrate,High,5,5/11/1997,16/11/1999,919,33.29,21.29,20.24,133,117.5,15.25,30.47,28.57,28.44,18.79,14.9,154,32.19,28.99,17.21,30.13,117,23.75,22.88,14.71,26.15,11.9,11.5,10.49,9.62,15.69,15.04,26.08,7.93,10.08,7.2,169,167.5,20.76,16.49,38.32,200,42.7,15.28,11.28,26.71,20.52,23.72,123,20.46,20.45,12.62,25.24,11.35,10.1,9.64,9.01,15.66,14.88,24.75,27.76,18.48,15.73,56.04,16.2,12.69,22.04,22.51,fu,fo,fu,fu,u,fu,fu,fo,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3573,Female,High,1,07/05/99,23/11/1999,200,29.38,18.68,14.74,117,106,11.17,27.04,25.44,24.99,17.68,13.67,121,26.45,24.96,13.12,26.83,105,21.94,21.42,11.95,22.78,10.75,10.4,10.24,9.78,14.91,14.28,24.17,5.67,7.47,5.19,141.5,143,19.16,12.98,33.84,169,35.49,11.71,9.72,24.67,19.65,21.15,114,18.91,18.76,9.97,21.92,10.35,9.6,9.34,8.94,14.9,13.95,22.94,26.62,17.46,15.38,50.79,14.91,11.81,20.64,21.11,fu,u,fu,fu,u,u,fu,u,u,u,u,u,u,u,u,u,u,u,fo,fo,u,u
3574,Female,Low,7,5/15/1996,23/11/1999,1287,30.35,18.65,18.08,123,109.5,13.6,27.65,25.66,25.02,17.01,13.09,135,29.18,25.89,16.21,26.6,110,22.01,20.84,13.15,23.26,11,10.2,9.68,9.21,15,14.17,22.99,5.34,8.32,5.27,148.5,147.5,19.5,16.59,35.63,175.5,39.31,14.53,11.06,24.14,18.7,21.58,117,18.71,18.51,11.16,23.18,10.75,9.1,9.21,8.32,15.16,13.9,22.07,25.83,17.04,13.96,51.84,15.14,13.38,21.3,20.9,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3575,Male,Low,1,23/05/99,17/11/1999,178,28.32,16.32,13.8,110,102,10.14,26.52,25.19,24,15.8,13.16,111,25.66,24.66,11.93,26.57,97,21.82,21.44,10.53,23.11,10.8,10.4,9.94,9.09,14.99,14.13,24.39,6.68,7.07,8.59,131,133,19.16,11.83,33.02,154,34.73,10.61,9.17,24.7,19.4,21.41,104.5,19.22,19.13,9.1,22.62,10.9,9.85,9.36,8.33,14.71,13.85,22.97,26.46,17.19,14.75,46.89,14.51,11.85,19.93,20.56,u,u,fo,fu,u,u,fo,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
3576,Male,High,3,5/3/1999,05/12/2000,582,35.11,21.43,21.42,150,133.5,16.25,34.69,32.07,28.01,21.16,15.44,165.5,35.25,32.34,18.52,32.96,126.5,25.41,24.57,14.32,26.63,12.5,11.95,11.77,10.79,17.17,16.35,28.21,9.52,10.9,9.64,182,179.5,22.66,18.56,40.6,217,44.57,15.76,13.29,28.6,22.65,25.14,137.5,21.96,21.87,12.1,24.84,11.5,10.6,10.69,9.96,17.09,16.15,25.97,30.18,19.85,16.23,57.99,16.74,12.72,23.23,23.43,fu,u,fu,fu,u,fo,fu,u,u,u,u,fo,fo,u,fu,fu,fu,fu,fu,fu,fu,fu
3577,Castrate,High,1,12/05/00,04/12/2000,206,35.38,19.7,18.34,124,112,13.13,29.47,27.48,27.06,18.1,14.85,129,30.27,27.89,15.66,29.29,109,23.6,22.69,13.89,24.69,11.45,10.75,10.67,9.81,16,14.99,25.93,8.14,9.45,7.91,149,148.5,20.38,15.56,36.89,179,39.02,14.22,11.63,26.95,21.29,23.07,117,20.42,20.21,11.99,24.06,10.95,10.1,9.96,9.11,16.04,14.99,25.09,28.68,18.72,15.28,54.33,16.64,13.38,22.03,21.99,fo,u,fu,fu,u,u,fo,u,u,u,u,u,u,u,u,u,u,u,u,fo,fo,fo
